Cultura,2013_valor,2013_volume,2014_valor,2014_volume,2015_valor,2015_volume,2016_valor,2016_volume,2017_valor,2017_volume
Soja,5866403456,475818575,6804513174,504016440,4972049166,470335549,5324381897,502859187,4637959111,0
Cana-de-acucar,1158865045,77474184,1031049511,68150591,983635664,72913034,938939682,61479982,1042474723,0
Milho Safrinha,594558820,62390180,645880519,63183780,657504135,80755007,653343276,81128680,651210066.7,0
Algodao,1040506078,70362029,923778657,60039012,702875273,53634164,464486204,39173604,599142626.7,0
Milho Safra,504537904,49578322,431369387,41651258,280425787,36156268,340401624,47969608,294359197.9,0
Coffee,292926072,21138095,309809108,20682064,269729548,18453711,239287808,15724600,246553378.4,0
Pastagem,258432601,26325458,298179573,26419220,218459181,24239180,204705038,23574456,244352977.3,0
Citros,190786347,16092812,182733395,20345825,162190944,19655498,170185764,21146612,185997144.3,0
Arroz,224195364,14559553,247390145,14662865,207131238,17874452,189019016,13756877,172258687.9,0
Trigo/Aveia/Centeio/Cevada,243851516,17871182,338359438,23560492,324191661,28848014,216586998,17721200,142470516.4,0
Feijao,290195689,16612481,271321892,16312282,171324261,12254358,150044296,8918457,121793798.5,0
Batata Inglesa,163932591,9713671,158504301,9630708,159239416,10625014,153135723,9823480,109179236.7,0
Tomate,168729420,9168730,190656279,11055979,107084828,7185533,122506790,7268438,100417524.6,0
Horticultura (outras),99669797,6621257,121704480,10697147,115531037,12463101,58646704,4480650,53643080.39,0
Reflorestamento,7752173,578434,7958941,327848,21402089,3927397,36202398,4822686,45167695.79,0
Maca,54663348,4987679,48354087,5286763,37923705,3325881,47251989,3719257,44699381.51,0
Fumo,49008690,2108894,41159257,1647452,35160449,1480318,36823369,1525784,40566136.17,0
Amendoim,45166824,3406032,42562531,3174816,39705494,3047766,52196040,4033744,38303422.17,0
Uva,38966667,2478104,34804041,2569960,29187688,2266236,32457338,2229610,29466323.37,0
Graos Armazenados,35495402,3002966,14377907,1011654,5430227,359514,4122249,194164,25924818.82,0
Fruticultura (outras),32718568,2822104,26812010,1772947,21479256,1310178,31349845,1945566,22136536.42,0
Outras,43800046,4449611,43764327,3161583,47356713,3793126,53105346,3228548,14685274.36,0
Cebola,17891706,1005563,4613209,1106962,16843905,1419737,14709688,851575,10812934.81,0
Melao / Melancia,11386434,445492,10955532,561742,13090465,667860,18190097,892567,8122882.402,0
Banana,16653649,3196137,13916927,2985671,6667504,725079,5081141,606062,5688638.291,0
Alho,1949630,96575,1935554,92572,1255988,63914,1607033,87111,3549328.445,0
Floricultura,1240058,104653,2081400,112834,1530751,92480,1504641,79407,2019267.654,0
Total,11454283895,902408773,12248545582,914220467,9608406373,887872369,9560271994,879241912,8892954710,0
